Pavadinimas,Kortel?s Nr.,Inv. Nr.,"Vert?, Eur","Sukauptas nusid?v?jimas, Eur","Likutin? vert?, Eur",Kiekis m2
Kvie?i? g.16-4,0813,120323,"2,077.15",410.55,"1,666.60",64.43
"Radviliškio g.45-9, 64/100",0814,120324,10.65,7.53,3.12,79.12
"Gytari? g.43-19, 47/100",0815,120328,16.81,3.80,13.01,50.17
Gumbin?s g.110-302,0816,120330,142.98,43.28,99.70,17.26
Gardino g. 4-207,0817,120331,48.50,20.07,28.43,21.76
Basanavi?iaus g.55b-2,0819,120333,"1,677.02",250.91,"1,426.11",9.91
Basanavi?iaus  g.55b-113,0820,120334,"3,578.13",535.23,"3,042.90",18.58
"Radviliškio g.45-11, 41/100",0821,120335,5.90,4.03,1.87,79.12
Basanavi?iaus g.55b-114,0822,120336,"3,084.78",461.46,"2,623.32",16.03
Basanavi?iaus g.55b-116,0823,120337,"3,121.62",465.95,"2,655.67",16.22
Basanavi?iaus g.55b-117,0824,120338,"3,448.21",515.86,"2,932.35",17.92
Basanavi?iaus g.55b-118,0825,120339,"1,852.24",277.02,"1,575.22",9.63
Basanavi?iaus g.55b-119,0826,120440,"4,085.88",608.55,"3,477.33",21.22
Basanavi?iaus g.55 b-120,0827,120441,"1,675.10",250.52,"1,424.58",8.70
Basanavi?iaus g.55b-122,0828,120442,"1,802.18",269.56,"1,532.62",9.36
Basanavi?iaus g.55b-123,0829,120443,"1,640.07",245.37,"1,394.70",8.52
Basanavi?iaus g.55b-109,0830,120444,"2,861.78",428.13,"2,433.65",14.85
Basanavi?iaus 55b-110,0831,120445,"3,091.82",462.51,"2,629.31",16.14
Radviliškio g.64-3,0832,120446,55.72,12.66,43.06,52.88
Basanavi?iaus g.55b-111,0833,120447,"3,137.12",469.25,"2,667.87",16.33
Basanavi?iaus g.55b-112,0834,120448,"3,452.97",516.51,"2,936.46",18.49
Ežero g.8-26,0835,120449,41.80,15.35,26.45,17.40
Ežero g.8-52,0836,120450,40.00,14.64,25.36,17.76
Ežero g.8-86,0837,120451,42.62,15.66,26.96,17.94
Ežero g.8-87,0838,120452,42.48,15.61,26.87,17.91
Ežero g.8-109,0839,120453,41.99,15.47,26.52,17.79
Ežero g.15-11,0840,120454,10.84,2.62,8.22,8.74
Tilž?s g.121-210a,0841,120455,13.87,2.82,11.05,15.52
Radviliškio g.64-8,0842,120456,56.70,12.91,43.79,53.38
Tilž?s g.121-213,0843,120457,16.32,3.55,12.77,17.59
"Tilž?s g,121-219 A",0844,120458,15.12,2.96,12.16,16.71
Tilž?s g.121-233,0845,120459,16.06,3.37,12.69,17.31
Tilž?s g.121-412,0846,120460,16.44,3.55,12.89,17.92
Tilž?s g.121-203,0847,120461,33.03,5.73,27.30,18.45
Geguži? g.49a-206,0848,120462,64.75,35.03,29.72,21.63
Ežero g.29-112,0850,120464,28.94,6.27,22.67,15.09
Ežero g.29-205,0851,120465,27.29,5.88,21.41,15.95
Tilž?s g.44-8,0852,120466,33.91,16.33,17.58,18.32
Radviliškio g.64-17,0853,120467,36.48,8.17,28.31,34.69
Tilž?s g.44-10,0854,120468,33.49,16.17,17.32,18.05
Tilž?s g.44-16,0855,120469,33.47,16.15,17.32,18.04
Tilž?s g.44-37,0856,120470,30.71,14.77,15.94,17.94
Tilž?s g.44-46,0857,120471,32.52,15.55,16.97,17.87
Tilž?s g.44-49,0858,120472,31.91,15.23,16.68,17.96
Tilž?s g.44-79,0859,120473,30.87,14.82,16.05,17.79
Tilž?s g.44-108,0860,120474,30.28,14.60,15.68,17.59
Tilž?s g.44-141,0861,120475,30.44,14.65,15.79,17.69
Tilž?s g.44-110,0862,120476,30.07,14.60,15.47,17.37
Tilž?s g.44-128,0863,120477,64.52,31.05,33.47,35.65
Radviliškio g.64-23,0864,120478,55.94,12.70,43.24,32.32
Tilž?s g.44-114,0865,120479,30.89,14.83,16.06,17.96
Spindulio g.5-408,0866,120480,66.83,22.93,43.90,32.81
Spindulio g.5-503,0867,120481,61.35,10.46,50.89,33.11
Žemait?s g.104-10a,0868,120482,28.20,6.42,21.78,13.99
Žemait?s g.104-72,0869,120483,34.45,8.63,25.82,15.76
Žuvinink? g.2-405a,0870,120484,36.44,7.03,29.41,8.82
Žuvinink? g.2-409,0871,120485,61.47,12.05,49.42,19.97
Radviliškio g.64-24,0872,120490,0.01,0.01,,55.99
Radviliškio g.64-27,0873,120503,60.15,13.56,46.59,56.59
Radviliškio g.64-35,0874,120537,55.42,12.62,42.80,34.47
Margi? 10a-301,0875,120553,12.79,3.56,9.23,20.06
Margi? g.10a-208,0876,120554,25.89,7.30,18.59,34.19
Margi? g.10a-209,0877,120556,26.59,7.44,19.15,37.28
Margi? 10a-210,0878,120557,26.81,7.49,19.32,34.17
Margi? g.10a-312,0879,120558,25.55,7.25,18.30,33.58
Radviliškio g.64-40,0880,120559,55.72,12.66,43.06,52.24
Margi? g.10a-313,0881,120560,17.23,4.61,12.62,21.48
Margi? g.10a-305,0882,120561,25.74,7.28,18.46,33.82
Margi? g.10a-402,0883,120562,25.35,7.21,18.14,33.85
Margi? g.10a-406,0884,120563,28.53,10.08,18.45,33.67
Margi? g.10a-408,0885,120564,26.42,7.41,19.01,33.93
Margi? 10a-503,0886,120565,26.19,6.73,19.46,33.86
Margi? g.10a-505,0887,120567,27.05,5.40,21.65,34.22
Margi? g.10a-506,0888,120568,20.11,5.74,14.37,33.89
Radviliškio g.64-41,0889,120569,36.48,8.14,28.34,35.50
Margi? g.10a-508a,0890,120570,15.46,4.40,11.06,20.01
Margi? g.10a-510b,0891,120571,10.89,1.84,9.05,14.10
Margi? g.10a-511,0892,120572,0.01,0.01,,33.83
Margi? g.10a-512,0893,120574,26.24,7.37,18.87,34.22
Margi? g.10a-515,0894,120575,26.80,7.49,19.31,34.45
Margi? 10a-212,0895,120576,26.69,7.47,19.22,34.02
Margi? g.10a-213,0896,120577,17.45,4.87,12.58,21.10
Margi? g.10a-215,0897,120578,26.95,7.50,19.45,34.39
Radviliškio g.64-47,0898,120580,55.73,12.66,43.07,52.95
Margi? g.10a-103,0899,120581,19.60,5.63,13.97,23.60
Margi? g.10a-202b,0900,120582,10.82,2.99,7.83,14.07
Margi? g.10a-513,0901,120583,17.23,4.74,12.49,21.15
Margi? g.10a-517a,0902,120585,11.00,3.16,7.84,20.20
